,tagline
0,Roll the dice and unleash the excitement!
1,Still Yelling. Still Fighting. Still Ready for Love.
2,Friends are the people who let you be yourself... and never let you forget it.
3,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!
4,A Los Angeles Crime Saga
5,You are cordially invited to the most surprising merger of the year.
6,The Original Bad Boys.
7,Terror goes into overtime.
8,No limits. No fears. No substitutes.
9,Why can't the most powerful man in the world have the one thing he wants most?
10,Part Dog. Part Wolf. All Hero.
11,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation."
12,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
13,No one stays at the top forever.
14,Lose your heart and come to your senses.
15,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
16,New animals. New adventures. Same hair.
17,"Get on, or GET OUT THE WAY!"
18,"The mob is tough, but it’s nothing like show business."
19,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next."
20,"In the shadows of life, In the business of death, One man found a reason to live..."
21,An extraordinary encounter with another human being.
22,I Love You... The Way You Are.
23,"Envy, greed, jealousy and love."
24,In every woman there is the girl she left behind.
25,Where happily ever after is just a dream.
26,In 1930's Shanghai violence was not the problem. It was the solution.
27,She broke the rules... and changed their lives.
28,The future is history.
29,A little pig goes a long way.
30,A Love so Unusual it has to be True
31,Two identical strangers. Two different worlds. One perfect match.
32,Sex. Clothes. Popularity. Is there a problem here?
33,"I can smile, and murder while I smile"
34,"In this daring heist, the only color that counts is green"
35,Nothing In This World Has Prepared You For This.
36,All she wanted was a little attention.
37,There's beauty in the patterns of life.
38,Seven deadly sins. Seven ways to die.
39,An American legend comes to life.
40,Five Criminals. One Line Up. No Coincidence.
41,The biggest kick of the year!
42,The toughest act to follow was their dreams.
43,We'll do it every year..until we get it right
44,What do you do when justice fails?
45,"Of All the Lives He Changed, the One That Changed the Most Was His Own."
46,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time."
47,"A new comedy about love, laughter, and larceny"
48,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?
49,"God made him simple. Science made him a god. Now, he wants revenge."
50,A lot can go down between thursday and saturday...
51,One night is all that stands between them and freedom. But it's going to be a hell of a night.
52,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...
53,Anxiety loves company.
54,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined."
55,He gave her flowers. She gave him a chance.
56,The last scream you hear will be your own.
57,"...some lives cross, others collide."
58,There is no defense.
59,Protect. Love. Honor. Avenge.
60,A motion picture that celebrates everything you love about life.
61,An elegant seduction. An erotic deception. A stunning revelation.
62,He's about to turn a Five Star Hotel into a three ring circus.
63,There's one in every family.
64,The untold story of Jekyll and Hyde
65,A comic tale of horror and seduction.
66,"Good times never seemed so good,"
67,Prepare to Go Ballistic.
68,The drama. The passion. The intrigue... And the rehearsals haven't even started.
69,Three Young Friends... One Last Chance.
70,No one leaves without paying...
71,   
72,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.
73,"They're not really criminals, but everyone's got to have a dream."
74,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.
75,He doesn't play golf... he destroys it.
76,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...
77,Set sail for Muppet mayhem!
78,"The moment when fashion, art and entertainment come together with stunning force and beauty."
79,Every man dies. Not every man truly lives.
80,"On every street in every city, there's a nobody who dreams of being a somebody."
81,No Fear. No Stuntman. No Equal.
82,A murder. A suspect. A shadow of a doubt.
83,She found a way to preserve her memories forever.
84,"She is perhaps Hitler's best known victim, but what was Anne Frank really like?"
85,A comedy for the romantically challenged.
86,Two brothers. One fortune. Zero chance they'll share it.
87,A Player Who's About to be Played.
88,What a difference a day makes
89,"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true..."
90,"A comedy about sex, love, family and other accidents waiting to happen."
91,It's a brand new beginning in the adventure that never ends
92,The only thing that stands in the way of fate and true love is a little traffic.
93,Sometimes the brightest star is the one that shines within.
94,Some fantasies go too far.
95,"A rusty sub. A rebel commander. A renegade crew. When destiny called, they should have hung up."
96,He as a centerfold who revealed everything ... but the truth.
97,"Every Day we Have, is One More Than We Deserve."
98,Come as you are.
99,Sometimes the Best Friends Are the Ones You've Known Your Whole Life.
100,Whatcha gonna do?
101,"In the sweeping highlands of China, a boy begins a magical journey to save the life of a natural wonder."
102,The true story of the death of innocence and the birth of an artist.
103,"Accountancy, Murder, Amnesia, Torture, Ecstasy, Understanding, Redemption"
104,"Houston, we have a problem."
105,Honor made him a man. Courage made him a hero. History made him a legend.
106,The dark is their sunlight. What makes them different is what keeps them alive.
107,"Courage now, truth always..."
108,Luis Bunuel's Masterpiece of Erotica!
109,Truth has a witness
110,Welcome to the planet Brooklyn.
111,"I'll tell ya another thing, their beer sucks!"
112,Get an afterlife
113,"When there's murder on the streets, everyone is a suspect."
114,Where you are the endangered species.
115,Danger runs deep.
116,Weird sex · Obsession · Comic books
117,"When the smoke clears, it just means he's reloading."
118,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.
119,Think fast. Look alive. Die hard.
120,Sex. Violence. Whatever.
