,title
0,The Dark Knight Rises
1,Batman Forever
2,Batman
3,Batman Returns
4,Batman & Robin
5,Batman: Mask of the Phantasm
6,Batman
7,Batman Begins
8,Batman: Under the Red Hood
9,Batman: Year One
10,"Batman: The Dark Knight Returns, Part 1"
11,"Batman: The Dark Knight Returns, Part 2"
12,Batman v Superman: Dawn of Justice
13,Toy Story
14,Jumanji
15,Grumpier Old Men
16,Waiting to Exhale
17,Father of the Bride Part II
18,Heat
19,Sabrina
20,Tom and Huck
21,Sudden Death
22,GoldenEye
23,The American President
24,Dracula: Dead and Loving It
25,Balto
26,Nixon
27,Cutthroat Island
28,Casino
29,Sense and Sensibility
30,Four Rooms
31,Ace Ventura: When Nature Calls
32,Money Train
33,Get Shorty
34,Copycat
35,Assassins
36,Powder
37,Leaving Las Vegas
38,Othello
39,Now and Then
40,Persuasion
41,The City of Lost Children
42,Shanghai Triad
43,Dangerous Minds
44,Twelve Monkeys
45,Babe
46,Carrington
47,Dead Man Walking
48,Across the Sea of Time
49,It Takes Two
50,Clueless
51,"Cry, the Beloved Country"
52,Richard III
53,Dead Presidents
54,Restoration
55,Mortal Kombat
56,To Die For
57,How To Make An American Quilt
58,Se7en
59,Pocahontas
60,When Night Is Falling
61,The Usual Suspects
62,Mighty Aphrodite
63,Lamerica
64,The Big Green
65,Georgia
66,Home for the Holidays
67,The Postman
68,The Confessional
69,The Indian in the Cupboard
70,Eye for an Eye
71,Mr. Holland's Opus
72,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
73,Two If by Sea
74,Bio-Dome
75,Lawnmower Man 2: Beyond Cyberspace
76,French Twist
77,Friday
78,From Dusk Till Dawn
79,Fair Game
80,Kicking and Screaming
81,Les Miserables
82,Bed of Roses
83,Screamers
84,Nico Icon
85,The Crossing Guard
86,The Juror
87,The White Balloon
88,Things to Do in Denver When You're Dead
89,Antonia's Line
90,Once Upon a Time... When We Were Colored
91,Last Summer in the Hamptons
92,Angels and Insects
93,White Squall
94,Dunston Checks In
95,Black Sheep
96,Nick of Time
97,Mary Reilly
98,Vampire in Brooklyn
99,Beautiful Girls
100,Broken Arrow
101,A Midwinter's Tale
102,La Haine
103,Shopping
104,Heidi Fleiss: Hollywood Madam
105,City Hall
106,Bottle Rocket
107,Mr. Wrong
108,Unforgettable
109,Happy Gilmore
110,The Bridges of Madison County
111,Muppet Treasure Island
112,Catwalk
113,Braveheart
114,Taxi Driver
115,Rumble in the Bronx
116,Before and After
117,Margaret's Museum
118,Anne Frank Remembered
119,The Young Poisoner's Handbook
120,If Lucy Fell
121,Steal Big Steal Little
122,The Boys of St. Vincent
123,Boomerang
124,Chungking Express
125,The Star Maker
126,Flirting with Disaster
127,The Neverending Story III: Escape from Fantasia
128,Pie in the Sky
129,Angela
130,Frankie Starlight
131,Jade
132,Down Periscope
133,Man of the Year
134,Up Close & Personal
135,The Birdcage
136,The Brothers McMullen
137,Bad Boys
138,The Amazing Panda Adventure
139,The Basketball Diaries
140,An Awfully Big Adventure
141,Amateur
142,Apollo 13
143,Rob Roy
144,The Addiction
145,Belle de Jour
146,Beyond Rangoon
147,Blue in the Face
148,Canadian Bacon
149,Casper
150,Clockers
151,Congo
152,Crimson Tide
153,Crumb
154,Desperado
155,Devil in a Blue Dress
156,Die Hard: With a Vengeance
157,The Doom Generation
158,Feast of July
159,First Knight
160,Free Willy 2 - The Adventure Home
161,Hackers
162,Jeffrey
163,Johnny Mnemonic
164,Judge Dredd
165,Jury Duty
166,Kids
167,Living in Oblivion
168,Lord of Illusions
169,Love & Human Remains
170,Mad Love
171,Mallrats
172,Mighty Morphin Power Rangers: The Movie
173,Mute Witness
174,Nadja
175,The Net
176,Nine Months
177,Party Girl
178,The Prophecy
179,Reckless
180,Safe
181,The Scarlet Letter
182,Showgirls
183,Smoke
184,Something to Talk About
185,Species
186,Strange Days
187,The Umbrellas of Cherbourg
188,The Tie That Binds
189,Three Wishes
190,Total Eclipse
191,"To Wong Foo, Thanks for Everything! Julie Newmar"
192,Under Siege 2: Dark Territory
193,Unstrung Heroes
194,Unzipped
195,A Walk in the Clouds
196,Waterworld
197,White Man's Burden
198,The Browning Version
199,Burnt by the Sun
200,Before the Rain
201,Before Sunrise
202,Billy Madison
203,The Babysitter
204,Boys on the Side
205,The Cure
206,Castle Freak
207,Circle of Friends
208,Clerks
209,Don Juan DeMarco
210,Disclosure
211,Drop Zone
212,Destiny Turns on the Radio
213,Death and the Maiden
214,Dolores Claiborne
215,Dumb and Dumber
216,Eat Drink Man Woman
217,Exotica
218,Exit to Eden
219,Ed Wood
220,French Kiss
221,Forget Paris
222,Far from Home: The Adventures of Yellow Dog
223,A Goofy Movie
224,Hideaway
225,Fluke
226,Farinelli
227,Gordy
228,Gumby: The Movie
229,The Glass Shield
230,Hoop Dreams
231,Heavenly Creatures
232,Houseguest
233,Immortal Beloved
234,Heavyweights
235,The Hunted
236,I.Q.
237,Interview with the Vampire
238,Jefferson in Paris
239,The Jerky Boys
240,Junior
241,Just Cause
242,A Kid in King Arthur's Court
243,Kiss of Death
244,Star Wars
245,Little Women
246,A Little Princess
247,Ladybird Ladybird
248,L'Enfer
249,Like Water for Chocolate
250,Legends of the Fall
251,Major Payne
252,Little Odessa
253,Mi Vida Loca
254,Love Affair
255,Losing Isaiah
256,The Madness of King George
257,Mary Shelley's Frankenstein
258,Man of the House
259,Mixed Nuts
260,Milk Money
261,Miracle on 34th Street
262,Miami Rhapsody
263,My Family
264,Murder in the First
265,Nobody's Fool
266,Nell
267,New Jersey Drive
268,Beyond Bedlam
269,Nina Takes a Lover
270,Natural Born Killers
271,Only You
272,Once Were Warriors
273,Poison Ivy II: Lily
274,Outbreak
275,Leon: The Professional
276,The Perez Family
277,A Pyromaniac's Love Story
278,Pulp Fiction
279,Priest
280,Quiz Show
281,Picture Bride
282,Queen Margot
283,The Quick and the Dead
284,Roommates
285,Prêt-à-Porter
286,Three Colors: Red
287,Three Colors: Blue
288,Three Colors: White
289,"Red Firecracker, Green Firecracker"
290,Stuart Saves His Family
291,The Swan Princess
292,The Secret of Roan Inish
293,The Specialist
294,Stargate
295,The Santa Clause
296,The Shawshank Redemption
297,Shallow Grave
298,Suture
299,Strawberry and Chocolate
300,Swimming with Sharks
301,The Sum of Us
302,Senior Trip
303,To Live
304,Tank Girl
305,Tales from the Crypt: Demon Knight
306,Star Trek: Generations
307,Tales from the Hood
308,Tom & Viv
309,Village of the Damned
310,Tommy Boy
311,Vanya on 42nd Street
312,The Underneath
313,The Walking Dead
314,What's Eating Gilbert Grape
315,Virtuosity
316,While You Were Sleeping
317,The War
318,Double Happiness
319,Muriel's Wedding
320,The Baby-Sitters Club
321,Ace Ventura: Pet Detective
322,"The Adventures of Priscilla, Queen of the Desert"
323,Backbeat
324,Bitter Moon
325,Bullets Over Broadway
326,Clear and Present Danger
327,The Client
328,"Corrina, Corrina"
329,Crooklyn
330,The Crow
331,Cobb
332,The Flintstones
333,Forrest Gump
334,Four Weddings and a Funeral
335,Higher Learning
336,I Love Trouble
337,It Could Happen to You
338,The Jungle Book
339,"The Wonderful, Horrible Life of Leni Riefenstahl"
340,The Lion King
341,Little Buddha
342,New Nightmare
343,The Mask
344,Maverick
345,Mrs. Parker and the Vicious Circle
346,The Naked Gun 33⅓: The Final Insult
347,The Paper
348,Reality Bites
349,Red Rock West
350,Ri¢hie Ri¢h
351,Safe Passage
352,The River Wild
353,Speed
354,Speechless
355,Timecop
356,True Lies
357,When a Man Loves a Woman
358,Wolf
359,Wyatt Earp
360,Bad Company
361,A Low Down Dirty Shame
362,"Boys Life: Three Stories of Love, Lust, and Liberation"
363,Colonel Chabert
364,"Faster, Pussycat! Kill! Kill!"
365,Jason's Lyric
366,The Secret Adventures of Tom Thumb
367,Street Fighter
368,Mirage
369,Highlander: The Final Dimension
370,In the Mouth of Madness
371,8 Seconds
372,Above the Rim
373,Addams Family Values
374,The Age of Innocence
375,Airheads
