,title,tagline
0,Cinema Paradiso,"A celebration of youth, friendship, and the everlasting magic of the movies."
1,Spy Hard,All the action. All the women. Half the intelligence.
2,Stonewall,The fight for the right to love
3,Killer,You only hurt the one you love.
4,Jason's Lyric,Love is courage.
5,The Hunchback of Notre Dame,
6,The Cable Guy,There's no such thing as free cable.
7,Café au Lait,
8,Ace Ventura: Pet Detective,"He's the best there is! (Actually, he's the only one there is.)"
9,Eye for an Eye,What do you do when justice fails?
10,A Walk in the Sun,THEY FOUGHT BEST WHEN IT WAS HOPELESS!
11,8 Seconds,Hang on for the ride of your life!
12,Dumbo,The One...The Only...The FABULOUS...
13,Much Ado About Nothing,Romance. Mischief. Seduction. Revenge. Remarkable.
14,Ladybird Ladybird,
15,Oliver & Company,The first Disney movie with attitude.
16,Wife,
17,Psycho,The master of suspense moves his cameras into the icy blackness of the unexplored!
18,Suture,A thriller where nothing is black and white.
19,A Midwinter's Tale,The drama. The passion. The intrigue... And the rehearsals haven't even started.
20,Brazil,It's only a state of mind.
21,Faces,
22,Death and the Maiden,Prepare yourself for the moment of truth.
23,Interview with the Vampire,Drink from me and live forever
24,It's My Party,
25,Picture Bride,
26,Another Stakeout,"They're on the look out for thrills, action and adventure."
27,Three Colors: Red,
28,Body Snatchers,Imagine... you're gone and someone else is living inside your body.
29,Dial M for Murder,If a woman answers...hang on for dear life!
30,Bogus,"A comedy about losing your heart, finding your inner child and meeting the one friend you've always tried to avoid."
31,Winnie the Pooh and the Blustery Day,
32,Nick of Time,
33,Star Wars,"A long time ago in a galaxy far, far away..."
34,The Gay Divorcee,The King and Queen of 'Carioca'
35,French Twist,
36,Top Gun,Up there with the best of the best.
37,Don Juan DeMarco,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!
38,Mixed Nuts,
39,Feast of July,There is no escape from the past.
40,Sleepless in Seattle,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
41,Andre,The greatest adventure is finding your way home.
42,Cobb,Everyone hated this baseball legend. And he loved it.
43,The Thin Blue Line,"A softcore movie, Dr. Death, a chocolate milkshake, a nosey blonde and ""The Carol Burnett Show."" Solving this mystery is going to be murder."
44,What's Eating Gilbert Grape,A film about the love you find...In the last place you look.
45,Stargate,It will take you a million light years from home. But will it bring you back?
46,The Beverly Hillbillies,The day they moved in... Beverly Hills moved out.
47,When We Were Kings,The untold story of the Rumble in the Jungle.
48,The Killer,One Vicious Hitman. One Fierce Cop. Ten Thousand Bullets.
49,Bananas,
50,Last Dance,Sometimes justice is a crime
51,Bad Moon,Half man.  Half wolf.  Total terror.
52,Pocahontas,An American legend comes to life.
53,Cemetery Man,"Zombies, guns, and sex, OH MY!!!"
54,My Favorite Season,
55,Roman Holiday,Romance in romantic Rome!
56,Being Human,"For Hector, history has a way of repeating itself."
57,Restoration,
58,The American President,Why can't the most powerful man in the world have the one thing he wants most?
59,Four Rooms,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
60,Glengarry Glen Ross,Lie. Cheat. Steal. All in a day’s work.
61,The House of the Spirits,
62,"Batman: The Dark Knight Returns, Part 1",Old heroes never die. They just get darker.
63,Mediterraneo,On a magical Greek island a soldier is about to discover that it is better to make love instead of war
64,Last Man Standing,"In a town with no justice, there is only one law... Every man for himself."
65,Rudy,"It's not the size of the dog in the fight, It's the size of the fight in the dog."
66,Life With Mikey,He's a talent agent. She's a thief. Looks like they've already got something in common.
67,Burnt by the Sun,A moving and poignant story set against the corrupt politics of the Stalinist era.
68,Striking Distance,"They shouldn't have put him in the water, if they didn't want him to make waves."
69,To Be or Not to Be,
70,Mr. Wrong,
71,Exit to Eden,"To crack this case, these two cops will have to flash more than their badges."
72,The Getaway,
73,Nadja,Unseen. Unforgiving. Undead.
74,1-900,
75,Kika,
76,Executive Decision,Fasten your seat belts
