,title,url
0,10 top time-saving tech tips,"https://www.ted.com/talks/david_pogue_10_top_time_saving_tech_tips
"
1,Who am I? Think again,"https://www.ted.com/talks/hetain_patel_who_am_i_think_again
"
2,"""Awoo""","https://www.ted.com/talks/sofi_tukker_awoo
"
3,"What I learned from 2,000 obituaries","https://www.ted.com/talks/lux_narayan_what_i_learned_from_2_000_obituaries
"
4,Why giving away our wealth has been the most satisfying thing we've done,"https://www.ted.com/talks/bill_and_melinda_gates_why_giving_away_our_wealth_has_been_the_most_satisfying_thing_we_ve_done
"
5,How to save the world (or at least yourself) from bad meetings,"https://www.ted.com/talks/david_grady_how_to_save_the_world_or_at_least_yourself_from_bad_meetings
"
6,Photos that changed the world,"https://www.ted.com/talks/jonathan_klein_photos_that_changed_the_world
"
7,"For parents, happiness is a very high bar","https://www.ted.com/talks/jennifer_senior_for_parents_happiness_is_a_very_high_bar
"
8,Cradle to cradle design,"https://www.ted.com/talks/william_mcdonough_on_cradle_to_cradle_design
"
9,"To create for the ages, let's combine art and engineering","https://www.ted.com/talks/bran_ferren_to_create_for_the_ages_let_s_combine_art_and_engineering
"
10,Art made of storms,"https://www.ted.com/talks/nathalie_miebach
"
11,How I'm fighting bias in algorithms,"https://www.ted.com/talks/joy_buolamwini_how_i_m_fighting_bias_in_algorithms
"
12,There's no shame in taking care of your mental health,"https://www.ted.com/talks/sangu_delle_there_s_no_shame_in_taking_care_of_your_mental_health
"
13,Singing the primal mystery,"https://www.ted.com/talks/claron_mcfadden_singing_the_primal_mystery
"
14,Fighters and mourners of the Ukrainian revolution,"https://www.ted.com/talks/anastasia_taylor_lind_fighters_and_mourners_of_the_ukrainian_revolution
"
15,What really motivates people to be honest in business,"https://www.ted.com/talks/alexander_wagner_what_really_motivates_people_to_be_honest_in_business
"
16,3 ways to spot a bad statistic,"https://www.ted.com/talks/mona_chalabi_3_ways_to_spot_a_bad_statistic
"
17,Why stay in Chernobyl? Because it's home.,"https://www.ted.com/talks/holly_morris_why_stay_in_chernobyl_because_it_s_home
"
18,How the blockchain will radically transform the economy,"https://www.ted.com/talks/bettina_warburg_how_the_blockchain_will_radically_transform_the_economy
"
19,The hidden influence of social networks,"https://www.ted.com/talks/nicholas_christakis_the_hidden_influence_of_social_networks
"
20,How your brain tells you where you are,"https://www.ted.com/talks/neil_burgess_how_your_brain_tells_you_where_you_are
"
21,How to get better at the things you care about,"https://www.ted.com/talks/eduardo_briceno_how_to_get_better_at_the_things_you_care_about
"
22,A new equation for intelligence,"https://www.ted.com/talks/alex_wissner_gross_a_new_equation_for_intelligence
"
23,The hunt for General Tso,"https://www.ted.com/talks/jennifer_8_lee_looks_for_general_tso
"
24,How the Internet enables intimacy,"https://www.ted.com/talks/stefana_broadbent_how_the_internet_enables_intimacy
"
25,How data from a crisis text line is saving lives,"https://www.ted.com/talks/nancy_lublin_the_heartbreaking_text_that_inspired_a_crisis_help_line
"
26,Happiness in body and soul,"https://www.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul
"
27,"A dance in a hurricane of paper, wind and light","https://www.ted.com/talks/aakash_odedra_a_dance_in_a_hurricane_of_paper_wind_and_light
"
28,A vision for sustainable restaurants,"https://www.ted.com/talks/arthur_potts_dawson_a_vision_for_sustainable_restaurants
"
29,Visualizing the wonder of a living cell,"https://www.ted.com/talks/david_bolinsky_animates_a_cell
"
30,Why would God create a tsunami?,"https://www.ted.com/talks/tom_honey_on_god_and_the_tsunami
"
31,A hospital tour in Nigeria,"https://www.ted.com/talks/dr_seyi_oyesola_tours_a_hospital_in_nigeria
"
32,Dance to change the world,"https://www.ted.com/talks/mallika_sarabhai
"
33,Why we shouldn't trust markets with our civic life,"https://www.ted.com/talks/michael_sandel_why_we_shouldn_t_trust_markets_with_our_civic_life
"
34,Why buses represent democracy in action,"https://www.ted.com/talks/enrique_penalosa_why_buses_represent_democracy_in_action
"
35,The playful search for beauty,"https://www.ted.com/talks/eva_zeisel_on_the_playful_search_for_beauty
"
36,10 ways to have a better conversation,"https://www.ted.com/talks/celeste_headlee_10_ways_to_have_a_better_conversation
"
37,Science can answer moral questions,"https://www.ted.com/talks/sam_harris_science_can_show_what_s_right
"
38,"How I learned to stop worrying and love ""useless"" art","https://www.ted.com/talks/luke_syson_how_i_learned_to_stop_worrying_and_love_useless_art
"
39,A flying camera ... on a leash,"https://www.ted.com/talks/sergei_lupashin_a_flying_camera_on_a_leash
"
40,Does money make you mean?,"https://www.ted.com/talks/paul_piff_does_money_make_you_mean
"
41,Haiti's disaster of engineering,"https://www.ted.com/talks/peter_haas_haiti_s_disaster_of_engineering
"
42,"""St. James Infirmary Blues""","https://www.ted.com/talks/silk_road_ensemble_rhiannon_giddens_st_james_infirmary_blues
"
43,Meet e-Patient Dave,"https://www.ted.com/talks/dave_debronkart_meet_e_patient_dave
"
44,How radio telescopes show us unseen galaxies,"https://www.ted.com/talks/natasha_hurley_walker_how_radio_telescopes_show_us_unseen_galaxies
"
45,When people of Muslim heritage challenge fundamentalism,"https://www.ted.com/talks/karima_bennoune_the_side_of_terrorism_that_doesn_t_make_headlines
"
46,The music wars,"https://www.ted.com/talks/david_pogue_on_the_music_wars
"
47,"Meet BRCK, Internet access built for Africa","https://www.ted.com/talks/juliana_rotich_meet_brck_internet_access_built_for_africa
"
48,A light switch for neurons,"https://www.ted.com/talks/ed_boyden
"
49,A life lesson from a volunteer firefighter,"https://www.ted.com/talks/mark_bezos_a_life_lesson_from_a_volunteer_firefighter
"
50,The unheard story of David and Goliath,"https://www.ted.com/talks/malcolm_gladwell_the_unheard_story_of_david_and_goliath
"
51,Meet the inventor of the electronic spreadsheet,"https://www.ted.com/talks/dan_bricklin_meet_the_inventor_of_the_electronic_spreadsheet
"
52,A future beyond traffic gridlock,"https://www.ted.com/talks/bill_ford_a_future_beyond_traffic_gridlock
"
53,To upgrade is human,"https://www.ted.com/talks/gregory_stock_to_upgrade_is_human
"
54,How to succeed? Get more sleep,"https://www.ted.com/talks/arianna_huffington_how_to_succeed_get_more_sleep
"
55,Letting go of God,"https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
"
56,The business logic of sustainability,"https://www.ted.com/talks/ray_anderson_on_the_business_logic_of_sustainability
"
57,An Iraq war movie crowd-sourced from soldiers,"https://www.ted.com/talks/deborah_scranton_on_her_war_tapes
"
58,"On violin and cello, ""Passacaglia""","https://www.ted.com/talks/robert_gupta_and_joshua_roman_duet_on_passacaglia
"
59,You can grow new brain cells. Here's how,"https://www.ted.com/talks/sandrine_thuret_you_can_grow_new_brain_cells_here_s_how
"
