Date,AAPL,AMZN,FB,GOOG,NFLX
2020-06-01,79.924,2471.04,231.91,1431.82,425.92
2020-06-02,80.294,2472.41,232.72,1439.22,427.31
2020-06-03,80.736,2478.4,230.16,1436.38,421.97
2020-06-04,80.041,2460.6,226.29,1412.18,414.33
2020-06-05,82.32,2483.0,230.77,1438.39,419.6
2020-06-08,82.807,2524.06,231.4,1446.61,419.49
2020-06-09,85.422,2600.86,238.67,1456.16,434.05
2020-06-10,87.62,2647.45,236.73,1465.85,434.48
2020-06-11,83.413,2557.96,224.43,1403.84,425.56
2020-06-12,84.133,2545.02,228.58,1413.18,418.07
2020-06-15,85.174,2572.68,232.5,1419.85,425.5
2020-06-16,87.431,2615.27,235.65,1442.72,436.13
2020-06-17,87.309,2640.98,235.53,1451.12,447.77
2020-06-18,87.344,2653.98,235.94,1435.96,449.87
2020-06-19,86.845,2675.01,238.79,1431.72,453.72
2020-06-22,89.117,2713.82,239.22,1451.86,468.04
2020-06-23,91.019,2764.41,242.24,1464.41,466.26
2020-06-24,89.413,2734.4,234.02,1431.97,457.85
2020-06-25,90.6,2754.58,235.68,1441.33,465.91
2020-06-26,87.816,2692.87,216.08,1359.9,443.4
2020-06-29,89.84,2680.38,220.64,1394.97,447.24
2020-06-30,90.59,2758.82,227.07,1413.61,455.04
2020-07-01,90.418,2878.7,237.55,1438.04,485.64
2020-07-02,90.418,2890.3,233.42,1464.7,476.89
2020-07-06,92.837,3057.04,240.28,1495.7,493.81
2020-07-07,92.549,3000.12,240.86,1485.18,493.16
2020-07-08,94.704,3081.11,243.58,1496.0,502.78
2020-07-09,95.112,3182.63,244.5,1510.99,507.76
2020-07-10,95.278,3200.0,245.07,1541.74,548.73
2020-07-13,94.838,3104.0,239.0,1511.34,525.5
2020-07-14,96.408,3084.0,239.73,1520.58,524.88
2020-07-15,97.071,3008.87,240.28,1513.64,523.26
2020-07-16,95.876,2999.9,240.93,1518.0,527.39
2020-07-17,95.683,2961.97,242.03,1515.55,492.99
2020-07-20,97.699,3196.84,245.42,1565.72,502.41
2020-07-21,96.351,3138.29,241.75,1558.42,490.1
2020-07-22,96.621,3099.91,239.87,1568.49,489.82
2020-07-23,92.224,2986.55,232.6,1515.68,477.58
2020-07-24,91.995,3008.91,230.71,1511.87,480.45
2020-07-27,94.175,3055.21,233.5,1530.2,495.65
2020-07-28,92.628,3000.33,230.12,1500.34,488.51
