,max_depth,min_samples_leaf,learn_rate,accuracy
0,4.0,16.0,0.624362416,95.0
1,10.0,14.0,0.477449664,97.0
2,7.0,14.0,0.050067114,96.0
3,5.0,12.0,0.023355705,96.0
4,6.0,12.0,0.771275168,97.0
5,13.0,11.0,0.290469799,96.0
6,6.0,10.0,0.317181208,96.0
7,19.0,10.0,0.757919463,96.0
8,2.0,16.0,0.931543624,96.0
9,16.0,13.0,0.904832215,96.0
10,12.0,13.0,0.89147651,96.0
11,4.0,16.0,0.504161074,96.0
12,2.0,13.0,0.223691275,95.0
13,3.0,11.0,0.01,95.0
14,14.0,15.0,0.517516779,95.0
15,10.0,16.0,0.223691275,95.0
16,20.0,12.0,0.878120805,95.0
17,10.0,14.0,0.851409396,95.0
18,2.0,15.0,0.063422819,94.0
19,9.0,16.0,0.651073826,94.0
20,16.0,15.0,0.771275168,94.0
21,12.0,14.0,0.357248322,94.0
22,10.0,14.0,0.637718121,94.0
23,4.0,8.0,0.744563758,93.0
24,7.0,12.0,0.757919463,93.0
25,5.0,16.0,0.89147651,93.0
26,12.0,10.0,0.383959732,92.0
27,19.0,8.0,0.46409396,91.0
28,17.0,12.0,0.397315436,91.0
29,9.0,14.0,0.46409396,87.0
30,11.0,5.0,0.21033557,87.0
31,18.0,5.0,0.931543624,84.0
32,2.0,12.0,0.46409396,83.0
33,2.0,5.0,0.036711409,83.0
34,6.0,6.0,0.130201342,83.0
35,12.0,6.0,0.944899329,82.0
36,5.0,11.0,0.504161074,82.0
37,2.0,7.0,0.477449664,82.0
38,10.0,11.0,0.504161074,82.0
39,19.0,8.0,0.89147651,82.0
40,10.0,12.0,0.66442953,81.0
41,7.0,16.0,0.651073826,81.0
42,20.0,3.0,0.838053691,80.0
43,17.0,7.0,0.784630872,79.0
44,7.0,6.0,0.811342282,78.0
45,17.0,16.0,0.89147651,78.0
46,13.0,6.0,0.517516779,78.0
47,25.0,10.0,0.317181208,78.0
48,4.0,3.0,0.757919463,78.0
49,53.0,13.0,0.637718121,78.0
50,47.0,13.0,0.797986577,77.0
51,17.0,5.0,0.69114094,76.0
52,11.0,16.0,1.719530201,76.0
53,20.0,6.0,0.263758389,76.0
54,5.0,4.0,0.530872483,76.0
55,17.0,9.0,0.944899329,76.0
56,9.0,16.0,1.198657718,74.0
57,9.0,4.0,0.717852349,74.0
58,24.0,14.0,0.21033557,74.0
59,61.0,11.0,0.597651007,73.0
60,13.0,7.0,0.263758389,73.0
61,5.0,10.0,1.038389262,73.0
62,1.0,11.0,0.277114094,73.0
63,22.0,14.0,0.090134228,72.0
64,6.0,11.0,1.078456376,72.0
65,17.0,10.0,1.385637584,72.0
66,4.0,8.0,0.944899329,71.0
67,10.0,10.0,1.839731544,71.0
68,20.0,15.0,1.786308725,71.0
69,13.0,9.0,0.050067114,71.0
70,19.0,13.0,1.585973154,71.0
71,57.0,15.0,0.170268456,70.0
72,37.0,14.0,0.66442953,70.0
73,35.0,13.0,0.584295302,70.0
74,41.0,16.0,0.370604027,69.0
75,47.0,10.0,0.317181208,69.0
76,17.0,7.0,0.063422819,69.0
77,10.0,9.0,0.544228188,69.0
78,54.0,10.0,0.397315436,69.0
79,55.0,10.0,0.597651007,69.0
80,15.0,6.0,0.998322148,68.0
81,61.0,12.0,0.971610738,68.0
82,27.0,14.0,0.958255034,68.0
83,16.0,12.0,1.879798658,67.0
84,5.0,11.0,1.479127517,67.0
85,5.0,9.0,0.878120805,67.0
86,27.0,14.0,0.530872483,67.0
87,5.0,6.0,0.944899329,66.0
88,48.0,13.0,0.023355705,66.0
89,46.0,12.0,0.410671141,66.0
90,27.0,15.0,0.637718121,66.0
91,58.0,13.0,0.744563758,66.0
92,18.0,11.0,1.011677852,66.0
93,43.0,14.0,0.864765101,65.0
94,42.0,10.0,0.584295302,65.0
95,15.0,4.0,0.677785235,65.0
96,51.0,13.0,0.958255034,65.0
97,27.0,15.0,0.811342282,65.0
98,3.0,12.0,1.198657718,65.0
99,11.0,14.0,1.065100671,65.0
100,7.0,5.0,0.904832215,65.0
101,37.0,15.0,0.330536913,64.0
102,22.0,10.0,0.424026846,64.0
103,39.0,15.0,0.130201342,64.0
104,59.0,10.0,0.998322148,64.0
105,39.0,12.0,0.504161074,64.0
106,10.0,6.0,0.944899329,64.0
107,17.0,15.0,1.011677852,64.0
108,34.0,16.0,0.036711409,63.0
109,12.0,8.0,0.744563758,63.0
110,8.0,15.0,1.412348993,63.0
111,50.0,12.0,0.904832215,63.0
112,64.0,16.0,0.517516779,62.0
113,53.0,12.0,0.450738255,62.0
114,33.0,10.0,0.303825503,62.0
115,39.0,11.0,0.183624161,61.0
116,64.0,14.0,0.370604027,60.0
117,55.0,10.0,0.624362416,60.0
118,39.0,16.0,0.223691275,60.0
119,25.0,13.0,0.771275168,60.0
120,6.0,16.0,1.212013423,59.0
121,20.0,8.0,0.46409396,59.0
122,33.0,13.0,0.290469799,59.0
123,56.0,12.0,0.21033557,58.0
124,20.0,10.0,1.57261745,58.0
125,39.0,12.0,0.624362416,58.0
126,57.0,14.0,0.904832215,58.0
127,26.0,9.0,0.771275168,57.0
128,13.0,10.0,1.946577181,57.0
129,61.0,8.0,0.21033557,57.0
130,55.0,16.0,0.170268456,56.0
131,11.0,12.0,1.77295302,56.0
132,31.0,4.0,0.864765101,56.0
133,30.0,12.0,0.46409396,55.0
134,52.0,9.0,0.050067114,55.0
135,14.0,6.0,1.038389262,55.0
136,53.0,8.0,0.651073826,55.0
137,15.0,11.0,1.77295302,54.0
138,5.0,6.0,1.959932886,54.0
139,3.0,14.0,1.198657718,54.0
140,40.0,7.0,0.811342282,54.0
