,max_depth,learn_rate,accuracy
0,1.0,0.001,89.0
1,1.0,0.0213877551020408,78.0
2,1.0,0.0417755102040816,59.0
3,1.0,0.0621632653061224,69.0
4,1.0,0.0825510204081632,68.0
5,1.0,0.102938775510204,62.0
6,1.0,0.1233265306122449,85.0
7,1.0,0.1437142857142857,73.0
8,1.0,0.1641020408163265,52.0
9,1.0,0.1844897959183673,82.0
10,1.0,0.2048775510204081,37.0
11,1.0,0.225265306122449,56.0
12,1.0,0.2456530612244898,68.0
13,1.0,0.2660408163265306,47.0
14,1.0,0.2864285714285714,57.0
15,1.0,0.3068163265306122,60.0
16,1.0,0.3272040816326531,62.0
17,1.0,0.3475918367346939,77.0
18,1.0,0.3679795918367347,63.0
19,1.0,0.3883673469387755,51.0
20,1.0,0.4087551020408163,50.0
21,1.0,0.4291428571428571,38.0
22,1.0,0.449530612244898,72.0
23,1.0,0.4699183673469388,42.0
24,1.0,0.4903061224489796,56.0
25,1.0,0.5106938775510205,44.0
26,1.0,0.5310816326530613,74.0
27,1.0,0.551469387755102,53.0
28,1.0,0.5718571428571428,39.0
29,1.0,0.5922448979591837,60.0
30,1.0,0.6126326530612245,49.0
31,1.0,0.6330204081632653,44.0
32,1.0,0.6534081632653062,61.0
33,1.0,0.673795918367347,37.0
34,1.0,0.6941836734693878,55.0
35,1.0,0.7145714285714286,63.0
36,1.0,0.7349591836734695,42.0
37,1.0,0.7553469387755103,43.0
38,1.0,0.775734693877551,70.0
39,1.0,0.7961224489795918,49.0
40,1.0,0.8165102040816327,52.0
41,1.0,0.8368979591836735,71.0
42,1.0,0.8572857142857143,75.0
43,1.0,0.8776734693877551,39.0
44,1.0,0.898061224489796,37.0
45,1.0,0.9184489795918368,41.0
46,1.0,0.9388367346938776,77.0
47,1.0,0.9592244897959183,39.0
48,1.0,0.9796122448979592,64.0
49,1.0,1.0,53.0
50,2.0,0.001,76.0
51,2.0,0.0213877551020408,82.0
52,2.0,0.0417755102040816,88.0
53,2.0,0.0621632653061224,83.0
54,2.0,0.0825510204081632,73.0
55,2.0,0.102938775510204,91.0
56,2.0,0.1233265306122449,67.0
57,2.0,0.1437142857142857,69.0
58,2.0,0.1641020408163265,72.0
59,2.0,0.1844897959183673,75.0
60,2.0,0.2048775510204081,76.0
61,2.0,0.225265306122449,64.0
62,2.0,0.2456530612244898,50.0
63,2.0,0.2660408163265306,36.0
64,2.0,0.2864285714285714,60.0
65,2.0,0.3068163265306122,42.0
66,2.0,0.3272040816326531,44.0
67,2.0,0.3475918367346939,59.0
68,2.0,0.3679795918367347,36.0
69,2.0,0.3883673469387755,43.0
70,2.0,0.4087551020408163,59.0
71,2.0,0.4291428571428571,46.0
72,2.0,0.449530612244898,52.0
73,2.0,0.4699183673469388,43.0
74,2.0,0.4903061224489796,70.0
75,2.0,0.5106938775510205,70.0
76,2.0,0.5310816326530613,68.0
77,2.0,0.551469387755102,40.0
78,2.0,0.5718571428571428,77.0
79,2.0,0.5922448979591837,74.0
80,2.0,0.6126326530612245,76.0
81,2.0,0.6330204081632653,63.0
82,2.0,0.6534081632653062,42.0
83,2.0,0.673795918367347,44.0
84,2.0,0.6941836734693878,43.0
85,2.0,0.7145714285714286,47.0
86,2.0,0.7349591836734695,69.0
87,2.0,0.7553469387755103,68.0
88,2.0,0.775734693877551,58.0
89,2.0,0.7961224489795918,59.0
90,2.0,0.8165102040816327,72.0
91,2.0,0.8368979591836735,70.0
92,2.0,0.8572857142857143,75.0
93,2.0,0.8776734693877551,57.0
94,2.0,0.898061224489796,62.0
95,2.0,0.9184489795918368,70.0
96,2.0,0.9388367346938776,36.0
97,2.0,0.9592244897959183,70.0
98,2.0,0.9796122448979592,72.0
99,2.0,1.0,49.0
100,3.0,0.001,50.0
101,3.0,0.0213877551020408,53.0
102,3.0,0.0417755102040816,63.0
103,3.0,0.0621632653061224,57.0
104,3.0,0.0825510204081632,92.0
105,3.0,0.102938775510204,62.0
106,3.0,0.1233265306122449,79.0
107,3.0,0.1437142857142857,82.0
108,3.0,0.1641020408163265,81.0
109,3.0,0.1844897959183673,74.0
110,3.0,0.2048775510204081,50.0
111,3.0,0.225265306122449,64.0
112,3.0,0.2456530612244898,71.0
113,3.0,0.2660408163265306,48.0
114,3.0,0.2864285714285714,67.0
115,3.0,0.3068163265306122,42.0
116,3.0,0.3272040816326531,57.0
117,3.0,0.3475918367346939,63.0
118,3.0,0.3679795918367347,37.0
119,3.0,0.3883673469387755,77.0
120,3.0,0.4087551020408163,41.0
121,3.0,0.4291428571428571,63.0
122,3.0,0.449530612244898,63.0
123,3.0,0.4699183673469388,55.0
124,3.0,0.4903061224489796,65.0
125,3.0,0.5106938775510205,46.0
126,3.0,0.5310816326530613,63.0
127,3.0,0.551469387755102,60.0
128,3.0,0.5718571428571428,74.0
129,3.0,0.5922448979591837,68.0
130,3.0,0.6126326530612245,36.0
131,3.0,0.6330204081632653,62.0
132,3.0,0.6534081632653062,48.0
133,3.0,0.673795918367347,76.0
134,3.0,0.6941836734693878,38.0
135,3.0,0.7145714285714286,74.0
136,3.0,0.7349591836734695,41.0
137,3.0,0.7553469387755103,43.0
138,3.0,0.775734693877551,62.0
139,3.0,0.7961224489795918,44.0
140,3.0,0.8165102040816327,72.0
141,3.0,0.8368979591836735,68.0
142,3.0,0.8572857142857143,77.0
143,3.0,0.8776734693877551,59.0
144,3.0,0.898061224489796,50.0
145,3.0,0.9184489795918368,67.0
146,3.0,0.9388367346938776,67.0
147,3.0,0.9592244897959183,59.0
148,3.0,0.9796122448979592,76.0
149,3.0,1.0,47.0
150,4.0,0.001,87.0
151,4.0,0.0213877551020408,50.0
152,4.0,0.0417755102040816,84.0
153,4.0,0.0621632653061224,66.0
154,4.0,0.0825510204081632,50.0
155,4.0,0.102938775510204,80.0
156,4.0,0.1233265306122449,74.0
157,4.0,0.1437142857142857,79.0
158,4.0,0.1641020408163265,50.0
159,4.0,0.1844897959183673,53.0
160,4.0,0.2048775510204081,61.0
161,4.0,0.225265306122449,67.0
162,4.0,0.2456530612244898,41.0
163,4.0,0.2660408163265306,67.0
164,4.0,0.2864285714285714,39.0
165,4.0,0.3068163265306122,46.0
166,4.0,0.3272040816326531,52.0
167,4.0,0.3475918367346939,73.0
168,4.0,0.3679795918367347,59.0
169,4.0,0.3883673469387755,40.0
170,4.0,0.4087551020408163,69.0
171,4.0,0.4291428571428571,41.0
172,4.0,0.449530612244898,57.0
173,4.0,0.4699183673469388,46.0
174,4.0,0.4903061224489796,51.0
175,4.0,0.5106938775510205,68.0
176,4.0,0.5310816326530613,44.0
177,4.0,0.551469387755102,41.0
178,4.0,0.5718571428571428,51.0
179,4.0,0.5922448979591837,64.0
180,4.0,0.6126326530612245,38.0
181,4.0,0.6330204081632653,55.0
182,4.0,0.6534081632653062,71.0
183,4.0,0.673795918367347,54.0
184,4.0,0.6941836734693878,61.0
185,4.0,0.7145714285714286,38.0
186,4.0,0.7349591836734695,54.0
187,4.0,0.7553469387755103,55.0
188,4.0,0.775734693877551,67.0
189,4.0,0.7961224489795918,42.0
190,4.0,0.8165102040816327,76.0
191,4.0,0.8368979591836735,68.0
192,4.0,0.8572857142857143,75.0
193,4.0,0.8776734693877551,74.0
194,4.0,0.898061224489796,53.0
195,4.0,0.9184489795918368,75.0
196,4.0,0.9388367346938776,36.0
197,4.0,0.9592244897959183,46.0
198,4.0,0.9796122448979592,63.0
199,4.0,1.0,60.0
200,5.0,0.001,89.0
201,5.0,0.0213877551020408,97.0
202,5.0,0.0417755102040816,88.0
203,5.0,0.0621632653061224,66.0
204,5.0,0.0825510204081632,75.0
205,5.0,0.102938775510204,93.0
206,5.0,0.1233265306122449,97.0
207,5.0,0.1437142857142857,80.0
208,5.0,0.1641020408163265,84.0
209,5.0,0.1844897959183673,85.0
210,5.0,0.2048775510204081,56.0
211,5.0,0.225265306122449,88.0
212,5.0,0.2456530612244898,83.0
213,5.0,0.2660408163265306,74.0
214,5.0,0.2864285714285714,72.0
215,5.0,0.3068163265306122,66.0
216,5.0,0.3272040816326531,66.0
217,5.0,0.3475918367346939,82.0
218,5.0,0.3679795918367347,88.0
219,5.0,0.3883673469387755,51.0
220,5.0,0.4087551020408163,61.0
221,5.0,0.4291428571428571,69.0
222,5.0,0.449530612244898,50.0
