,0,1,2,3
0,3,501451,24,0
1,4,501451,20,0
2,7,501911,3,0
3,8,501911,3,0
4,9,501911,4,0
5,10,501911,4,0
6,11,501911,4,0
7,12,501911,4,0
8,13,501911,4,0
9,14,501911,3,0
10,15,501911,3,0
11,16,501911,4,0
12,17,501909,2,0
13,18,501909,2,0
14,19,501909,3,0
15,20,501909,4,0
16,21,501909,4,0
17,22,501909,4,0
18,23,501909,0,3
19,26,501967,14,0
20,27,501967,3,0
21,28,501967,4,0
22,29,501134,7,0
23,30,501134,8,0
24,31,501134,7,0
25,32,501134,8,0
26,33,501134,7,0
27,34,501134,5,0
28,35,501134,6,0
29,36,501134,5,0
30,37,501966,5,0
31,38,501966,17,0
32,39,501966,0,31
33,40,501966,19,0
34,41,501966,21,0
35,42,501966,18,0
36,43,500846,4,0
37,44,500846,5,0
38,45,500846,3,0
39,46,500846,4,0
40,47,500846,3,0
41,48,500846,4,0
42,49,500836,13,0
43,50,500836,13,0
44,51,500836,13,0
45,52,500836,5,0
46,53,500836,4,0
47,54,500836,4,0
48,55,500836,4,0
49,56,500836,11,0
50,57,500836,5,0
51,58,500836,4,0
52,59,500836,5,0
53,60,501882,8,0
54,61,501882,51,0
55,62,501882,7,0
56,63,501882,4,0
57,64,501882,15,0
58,65,501882,3,0
59,66,501882,8,0
60,67,501882,6,0
61,68,501882,6,0
62,69,501882,3,0
63,70,501113,4,0
64,71,501113,3,0
65,72,501113,2,0
66,73,501113,3,0
67,74,501113,3,0
68,75,500917,6,0
69,76,500917,5,0
70,77,500917,5,0
71,85,501323,5,0
72,86,501323,5,0
73,87,501323,9,0
74,88,501323,4,0
75,89,501323,4,0
76,90,501323,7,0
77,91,501323,7,0
78,113,501451,6,0
79,114,501451,5,0
80,115,516296,4,0
81,116,516296,4,0
82,117,516296,5,0
83,118,516296,5,0
84,119,516296,5,0
85,120,516296,7,0
86,121,516296,3,0
87,122,516296,5,0
88,123,516296,3,0
89,124,516296,3,0
90,125,516296,6,0
91,126,516296,6,0
92,127,516296,8,0
93,128,516296,7,0
94,129,503178,4,0
95,130,503178,5,0
96,131,503178,4,0
97,132,503178,4,0
98,133,503178,4,0
99,134,503178,4,0
100,135,501451,6,0
101,136,501451,5,0
102,137,501451,3,0
103,138,501451,4,0
104,139,501451,12,0
105,140,501451,12,0
106,141,501451,12,0
107,142,501451,5,0
108,143,501451,6,0
109,144,501874,6,0
110,145,501874,6,0
111,146,501874,6,0
112,147,501874,6,0
113,148,501874,5,0
114,149,501874,5,0
115,150,501874,6,0
116,151,501874,7,0
117,152,501874,7,0
118,153,501874,25,0
119,154,501874,0,5
120,155,501874,5,0
121,156,501874,4,0
122,157,501874,6,0
123,158,501874,6,0
124,159,501874,7,0
125,160,501874,11,0
126,161,501874,6,0
127,162,501874,17,0
128,163,501874,13,0
129,164,501874,14,0
130,165,501874,14,0
131,166,501874,20,0
132,167,501874,15,0
133,168,501874,13,0
134,169,501874,7,0
135,170,501874,7,0
136,171,501874,10,0
137,172,501874,17,0
138,173,501874,14,0
139,174,501874,4,0
140,175,501874,6,0
141,176,501874,7,0
142,177,501874,8,0
143,178,501874,7,0
144,179,501874,7,0
145,180,501874,6,0
146,181,501874,7,0
147,182,501874,5,0
148,183,501942,2,0
149,184,501942,2,0
150,185,501942,2,0
151,186,501942,2,0
152,187,314009,26,0
153,188,314009,25,0
154,189,314009,2,0
155,190,314009,15,0
156,191,314009,6,0
157,192,314009,20,0
158,193,314009,5,0
159,194,314009,9,0
160,195,314009,15,0
161,196,314009,13,0
162,197,314009,15,0
163,198,314009,3,0
164,199,314009,2,0
165,200,314009,13,0
166,201,314009,6,0
167,202,314009,12,0
168,203,314009,15,0
169,204,314009,18,0
170,205,314009,22,0
171,206,314009,18,0
172,207,314009,18,0
173,208,314009,15,0
174,209,314009,17,0
175,210,501867,7,0
176,211,501867,3,0
177,212,501841,7,0
178,213,501841,8,0
179,214,501841,4,0
180,215,501892,12,0
181,216,501892,11,0
182,217,501892,12,0
183,218,501892,3,0
184,219,501892,9,0
185,220,501892,12,0
186,221,501892,11,0
187,222,501892,10,0
188,223,501892,8,0
189,224,501892,6,0
190,225,501892,6,0
191,226,501892,7,0
192,227,501892,7,0
193,228,501892,3,0
194,229,501892,15,0
195,230,501892,12,0
196,231,501892,0,12
197,232,501892,4,0
198,305,501897,5,0
199,306,501897,5,0
200,307,501897,5,0
201,308,501897,4,0
202,309,501897,4,0
203,310,501897,5,0
204,311,501897,4,0
205,312,501897,9,0
206,313,501897,2,0
207,314,501897,4,0
208,315,501897,4,0
209,316,501897,6,0
210,317,501897,5,0
211,318,501897,5,0
212,319,501897,2,0
213,320,501897,5,0
214,321,501897,5,0
215,322,501897,4,0
216,323,501897,4,0
217,324,501897,5,0
218,325,501897,5,0
219,344,501893,6,0
220,345,501893,11,0
221,346,501893,4,0
222,347,501893,5,0
223,348,501893,0,7
224,349,501893,3,0
225,350,501893,14,0
226,351,501893,11,0
227,352,501893,10,0
228,353,501893,7,0
229,354,501893,15,0
230,355,501893,10,0
231,356,107255,5,0
232,357,107255,6,0
233,358,107255,10,0
234,359,107255,10,0
235,360,413051,6,0
236,361,413051,5,0
237,362,413051,4,0
238,363,413051,4,0
239,364,413051,3,0
240,365,413051,5,0
241,366,413051,4,0
242,367,413051,14,0
243,368,413051,12,0
244,369,413051,11,0
245,370,413051,8,0
246,371,413051,14,0
247,372,413051,12,0
248,373,413051,9,0
249,374,413051,12,0
250,375,413051,11,0
251,376,413051,7,0
252,377,413051,8,0
253,378,413051,10,0
254,379,413051,10,0
255,380,413051,12,0
256,381,413051,11,0
257,382,413051,12,0
258,383,413051,5,0
259,384,413051,5,0
260,385,413051,6,0
261,386,413052,0,9
262,387,413052,0,9
263,388,413052,8,0
264,389,413052,5,0
265,390,413052,5,0
266,391,413052,5,0
267,392,413052,6,0
268,393,413052,6,0
269,394,107288,12,0
270,395,107288,12,0
271,396,107288,11,0
272,397,413086,12,0
273,398,413086,8,0
274,399,413086,9,0
275,400,413086,5,0
276,401,413086,5,0
277,402,413086,5,0
278,403,413086,0,8
279,404,413086,2,0
280,405,413086,2,0
281,406,413086,2,0
282,407,207803,14,0
283,408,207803,0,18
284,409,207803,14,0
285,410,207803,14,0
286,411,207803,22,0
287,412,207803,15,0
288,413,207803,19,0
289,414,207803,14,0
290,415,207803,18,0
291,419,107278,7,0
292,420,107278,7,0
293,421,107278,7,0
294,422,107188,8,0
295,423,107188,8,0
296,424,107188,5,0
297,425,107188,10,0
298,426,107188,14,0
299,427,207088,2,0
300,428,207088,2,0
301,429,207088,2,0
302,430,207088,2,0
303,431,107256,11,0
304,432,107256,12,0
305,433,107256,12,0
306,434,207945,3,0
307,435,207945,3,0
308,436,207945,3,0
309,437,207945,3,0
310,438,207945,3,0
311,439,207112,6,0
312,440,207112,6,0
313,441,207112,8,0
314,442,507568,2,0
315,443,507568,2,0
316,444,507568,11,0
317,445,107277,11,0
318,446,107277,11,0
319,447,107277,9,0
320,448,107277,11,0
321,449,107277,12,0
322,450,107277,13,0
323,451,107277,9,0
324,452,107277,11,0
325,453,107285,6,0
326,454,107285,0,4
327,455,107285,5,0
328,456,107285,5,0
329,457,207802,2,0
330,458,207802,2,0
331,459,207802,8,0
332,460,207041,10,0
333,461,207041,0,7
334,462,207041,0,9
335,463,207041,0,11
336,464,207041,0,11
337,465,516271,1,0
