age,education.num,marital.status,occupation,income
90,9,Widowed,?,50000.0
82,9,Widowed,Exec-managerial,50000.0
66,10,Widowed,?,36526.0
54,4,Divorced,Machine-op-inspct,50000.0
41,10,Separated,Prof-specialty,50000.0
34,9,Divorced,Other-service,50000.0
38,6,Separated,Adm-clerical,27800.0
74,16,Never-married,Prof-specialty,12400.0
68,9,Divorced,Prof-specialty,75000.0
41,10,Never-married,Craft-repair,89000.0
45,16,Divorced,Prof-specialty,24000.0
38,15,Never-married,Prof-specialty,25000.0
52,13,Widowed,Other-service,83975.0
32,14,Separated,Exec-managerial,85937.0
51,16,Never-married,?,9098.0
46,15,Divorced,Prof-specialty,45690.0
45,7,Divorced,Transport-moving,32532.0
57,14,Divorced,Exec-managerial,65000.0
22,12,Never-married,Handlers-cleaners,12412.0
34,13,Separated,Sales,50000.0
37,13,Never-married,Exec-managerial,719850.0
29,7,Separated,Sales,12473.0
61,9,Divorced,Sales,2421.0
51,10,Married-civ-spouse,Transport-moving,45098.0
61,9,Married-civ-spouse,?,24892.0
21,11,Married-civ-spouse,Craft-repair,127912.0
33,2,Married-civ-spouse,Craft-repair,12410.0
49,3,Married-civ-spouse,Other-service,2145.0
37,6,Never-married,Transport-moving,83025.0
38,6,Never-married,Prof-specialty,9243785.0
23,10,Separated,Other-service,9852.0
59,6,Widowed,Exec-managerial,32535.0
52,15,Divorced,Exec-managerial,643642.0
51,13,Divorced,Exec-managerial,23452.0
60,9,Never-married,Exec-managerial,64346.0
63,16,Divorced,Exec-managerial,32354.0
53,9,Never-married,Sales,23523.0
51,15,Never-married,Prof-specialty,23526.0
37,16,Never-married,Prof-specialty,25753.0
54,14,Divorced,Prof-specialty,43238.0
44,13,Divorced,Exec-managerial,36732.0
43,14,Divorced,Exec-managerial,57032.0
51,10,Divorced,Adm-clerical,35252.0
43,14,Divorced,Prof-specialty,23572.0
71,9,Married-civ-spouse,?,23634.0
48,13,Married-spouse-absent,Sales,24683.0
71,9,Married-civ-spouse,Sales,3473436.0
73,9,Married-civ-spouse,Farming-fishing,23524.0
68,10,Married-civ-spouse,?,23527.0
67,10,Married-civ-spouse,?,135326.0
40,15,Never-married,Prof-specialty,987762.0
50,9,Widowed,Sales,321354.0
51,11,Divorced,Tech-support,3252.0
42,10,Never-married,Exec-managerial,36724.0
39,14,Never-married,Sales,23534.0
32,13,Never-married,Exec-managerial,246743.0
53,10,Separated,Craft-repair,34342.0
40,10,Never-married,Protective-serv,46346.0
38,13,Never-married,Sales,29042.0
33,11,Separated,Craft-repair,27849.0
43,12,Divorced,Craft-repair,98563.0
50,7,Never-married,Exec-managerial,32783.0
44,10,Married-civ-spouse,Adm-clerical,9873.0
51,13,Married-civ-spouse,Sales,12102.0
41,15,Married-civ-spouse,Prof-specialty,124125.0
60,11,Married-civ-spouse,Machine-op-inspct,64709.0
37,14,Married-civ-spouse,Exec-managerial,23521.0
55,15,Married-civ-spouse,Prof-specialty,13513.0
39,13,Married-civ-spouse,Sales,135132.0
42,15,Married-civ-spouse,Prof-specialty,63911.0
49,13,Married-civ-spouse,Sales,45022.0
47,9,Married-civ-spouse,Exec-managerial,73913.0
41,15,Married-civ-spouse,Prof-specialty,83012.0
55,13,Married-civ-spouse,Exec-managerial,124124.0
39,14,Married-civ-spouse,Exec-managerial,18922.0
42,13,Married-civ-spouse,Exec-managerial,98901.0
41,11,Married-civ-spouse,?,21422.0
46,14,Married-civ-spouse,Sales,214245.0
40,14,Married-civ-spouse,Exec-managerial,39808.0
32,13,Married-civ-spouse,Prof-specialty,98765.0
41,10,Married-civ-spouse,Exec-managerial,45890.0
60,15,Married-civ-spouse,Prof-specialty,23523.0
31,14,Married-civ-spouse,Exec-managerial,38645.0
58,10,Married-civ-spouse,Farming-fishing,89364.0
37,13,Married-civ-spouse,Sales,12355.0
44,13,Married-civ-spouse,Exec-managerial,45866.0
39,15,Married-civ-spouse,Prof-specialty,48009.0
43,15,Married-civ-spouse,Prof-specialty,45892.0
55,13,Married-civ-spouse,Exec-managerial,35890.0
44,14,Married-civ-spouse,Prof-specialty,1241245.0
39,15,Married-civ-spouse,Prof-specialty,67454.0
46,13,Married-civ-spouse,Sales,12412.0
39,10,Married-civ-spouse,Farming-fishing,3800.0
62,13,Married-civ-spouse,Farming-fishing,37934.0
31,9,Married-civ-spouse,Other-service,27545.0
46,13,Married-civ-spouse,Adm-clerical,13534.0
46,15,Married-civ-spouse,Prof-specialty,1241.0
39,11,Married-civ-spouse,Craft-repair,24152.0
39,15,Married-civ-spouse,Sales,25784.0
