symbol,data_values,time
0,214.009998,2010-01-04
1,214.379993,2010-01-05
2,210.969995,2010-01-06
3,210.58,2010-01-07
4,211.980005,2010-01-08
5,210.110003,2010-01-11
6,207.720001,2010-01-12
7,210.650002,2010-01-13
8,209.43,2010-01-14
9,205.93,2010-01-15
10,215.039995,2010-01-19
11,211.73,2010-01-20
12,208.069996,2010-01-21
13,197.75,2010-01-22
14,203.070002,2010-01-25
15,205.940001,2010-01-26
16,207.880005,2010-01-27
17,199.289995,2010-01-28
18,192.060003,2010-01-29
19,194.729998,2010-02-01
20,195.859997,2010-02-02
21,199.229994,2010-02-03
22,192.050003,2010-02-04
23,195.460001,2010-02-05
24,194.119997,2010-02-08
25,196.190004,2010-02-09
26,195.120007,2010-02-10
27,198.669994,2010-02-11
28,200.379993,2010-02-12
29,203.399996,2010-02-16
30,202.550003,2010-02-17
31,202.929998,2010-02-18
32,201.669996,2010-02-19
33,200.419994,2010-02-22
34,197.059998,2010-02-23
35,200.66,2010-02-24
36,202.000004,2010-02-25
37,204.619997,2010-02-26
38,208.990004,2010-03-01
39,208.85,2010-03-02
40,209.329998,2010-03-03
41,210.710003,2010-03-04
42,218.950005,2010-03-05
43,219.079994,2010-03-08
44,223.020004,2010-03-09
45,224.839993,2010-03-10
46,225.500008,2010-03-11
47,226.600006,2010-03-12
48,223.839996,2010-03-15
49,224.449997,2010-03-16
50,224.120003,2010-03-17
51,224.650002,2010-03-18
52,222.25,2010-03-19
53,224.750004,2010-03-22
54,228.359993,2010-03-23
55,229.370003,2010-03-24
56,226.649994,2010-03-25
57,230.899998,2010-03-26
58,232.389992,2010-03-29
59,235.849991,2010-03-30
60,235.000011,2010-03-31
61,235.969994,2010-04-01
62,238.489998,2010-04-05
63,239.540009,2010-04-06
64,240.600006,2010-04-07
65,239.950005,2010-04-08
66,241.789993,2010-04-09
67,242.290005,2010-04-12
68,242.430008,2010-04-13
69,245.690002,2010-04-14
70,248.92001,2010-04-15
71,247.400002,2010-04-16
72,247.070007,2010-04-19
73,244.590004,2010-04-20
74,259.220005,2010-04-21
75,266.46999700000003,2010-04-22
76,270.82999,2010-04-23
77,269.5,2010-04-26
78,262.039989,2010-04-27
79,261.600006,2010-04-28
80,268.640007,2010-04-29
81,261.090008,2010-04-30
82,266.34999500000004,2010-05-03
83,258.679993,2010-05-04
84,255.989998,2010-05-05
85,246.249989,2010-05-06
86,235.860004,2010-05-07
87,253.990005,2010-05-10
88,256.51999700000005,2010-05-11
89,262.090004,2010-05-12
90,258.360012,2010-05-13
91,253.819988,2010-05-14
92,254.219997,2010-05-17
93,252.360008,2010-05-18
94,248.339996,2010-05-19
95,237.75999500000003,2010-05-20
96,242.319992,2010-05-21
97,246.759987,2010-05-24
98,245.220005,2010-05-25
99,244.109993,2010-05-26
100,253.349991,2010-05-27
101,256.880005,2010-05-28
102,260.830002,2010-06-01
103,263.949993,2010-06-02
104,263.11998700000004,2010-06-03
105,255.960011,2010-06-04
106,250.940002,2010-06-07
107,249.330006,2010-06-08
108,243.200012,2010-06-09
109,250.510006,2010-06-10
110,253.50999500000003,2010-06-11
111,254.27999900000003,2010-06-14
112,259.690002,2010-06-15
113,267.249989,2010-06-16
114,271.86998700000004,2010-06-17
115,274.070011,2010-06-18
116,270.170002,2010-06-21
117,273.850006,2010-06-22
118,270.969994,2010-06-23
119,268.999989,2010-06-24
120,266.699989,2010-06-25
121,268.299999,2010-06-28
122,256.170002,2010-06-29
123,251.530003,2010-06-30
124,248.48,2010-07-01
125,246.939991,2010-07-02
126,248.62999,2010-07-06
127,258.670006,2010-07-07
128,258.089993,2010-07-08
129,259.61998700000004,2010-07-09
130,257.290001,2010-07-12
131,251.799995,2010-07-13
132,252.730003,2010-07-14
133,251.450001,2010-07-15
134,249.900005,2010-07-16
135,245.580013,2010-07-19
136,251.890011,2010-07-20
137,254.239998,2010-07-21
138,259.02,2010-07-22
139,259.939995,2010-07-23
140,259.280006,2010-07-26
141,264.080009,2010-07-27
142,260.959991,2010-07-28
143,258.10999300000003,2010-07-29
144,257.25,2010-07-30
145,261.849998,2010-08-02
146,261.93,2010-08-03
147,262.980011,2010-08-04
148,261.700008,2010-08-05
149,260.090012,2010-08-06
150,261.749996,2010-08-09
151,259.409996,2010-08-10
152,250.18999900000003,2010-08-11
153,251.790009,2010-08-12
154,249.099987,2010-08-13
155,247.640007,2010-08-16
156,251.970013,2010-08-17
157,253.070011,2010-08-18
158,249.880005,2010-08-19
159,249.639999,2010-08-20
160,245.799992,2010-08-23
161,239.930004,2010-08-24
162,242.889992,2010-08-25
163,240.27999900000003,2010-08-26
164,241.620003,2010-08-27
165,242.499996,2010-08-30
166,243.10001,2010-08-31
167,250.330002,2010-09-01
168,252.169991,2010-09-02
169,258.770008,2010-09-03
170,257.810013,2010-09-07
171,262.92001,2010-09-08
172,263.07,2010-09-09
173,263.410007,2010-09-10
174,267.039997,2010-09-13
175,268.059994,2010-09-14
176,270.21999,2010-09-15
177,276.569988,2010-09-16
178,275.36998700000004,2010-09-17
179,283.230007,2010-09-20
180,283.769993,2010-09-21
181,287.750004,2010-09-22
182,288.91999100000004,2010-09-23
183,292.319988,2010-09-24
184,291.159988,2010-09-27
185,286.859997,2010-09-28
186,287.369995,2010-09-29
187,283.749992,2010-09-30
188,282.52000400000003,2010-10-01
189,278.639996,2010-10-04
190,288.939991,2010-10-05
191,289.19001000000003,2010-10-06
192,289.21999700000003,2010-10-07
193,294.069988,2010-10-08
194,295.360004,2010-10-11
195,298.539997,2010-10-12
196,300.140007,2010-10-13
197,302.30999,2010-10-14
198,314.739994,2010-10-15
199,317.999989,2010-10-18
200,309.489994,2010-10-19
201,310.529991,2010-10-20
202,309.520008,2010-10-21
203,307.470001,2010-10-22
204,308.839993,2010-10-25
205,308.049988,2010-10-26
206,307.830009,2010-10-27
207,305.23999,2010-10-28
208,300.98,2010-10-29
209,304.179993,2010-11-01
210,309.360004,2010-11-02
211,312.800003,2010-11-03
212,318.270008,2010-11-04
213,317.130009,2010-11-05
214,318.620003,2010-11-08
215,316.079998,2010-11-09
216,318.030003,2010-11-10
217,316.649998,2010-11-11
218,308.029987,2010-11-12
219,307.040005,2010-11-15
220,301.59,2010-11-16
221,300.499989,2010-11-17
222,308.429996,2010-11-18
223,306.730011,2010-11-19
224,313.35998900000004,2010-11-22
225,308.73000299999995,2010-11-23
226,314.799995,2010-11-24
227,315.0,2010-11-26
228,316.870003,2010-11-29
229,311.150005,2010-11-30
230,316.400005,2010-12-01
231,318.150005,2010-12-02
232,317.440002,2010-12-03
233,320.149998,2010-12-06
234,318.210007,2010-12-07
235,321.009991,2010-12-08
236,319.760002,2010-12-09
237,320.559994,2010-12-10
238,321.670006,2010-12-13
239,320.290001,2010-12-14
240,320.35998900000004,2010-12-15
241,321.249996,2010-12-16
242,320.610008,2010-12-17
243,322.209991,2010-12-20
244,324.199997,2010-12-21
245,325.159992,2010-12-22
246,323.60001,2010-12-23
247,324.680008,2010-12-27
248,325.470013,2010-12-28
249,325.290009,2010-12-29
250,323.660011,2010-12-30
251,322.560013,2010-12-31
252,329.57,2011-01-03
253,331.290012,2011-01-04
254,334.000008,2011-01-05
255,333.729988,2011-01-06
256,336.120003,2011-01-07
257,342.450001,2011-01-10
258,341.639996,2011-01-11
259,344.420006,2011-01-12
260,345.680008,2011-01-13
261,348.479992,2011-01-14
262,340.650013,2011-01-18
263,338.840012,2011-01-19
264,332.680004,2011-01-20
265,326.720001,2011-01-21
266,337.449993,2011-01-24
267,341.39999,2011-01-25
268,343.850006,2011-01-26
269,343.209991,2011-01-27
270,336.100002,2011-01-28
271,339.319996,2011-01-31
272,345.030006,2011-02-01
273,344.320004,2011-02-02
274,343.44001000000003,2011-02-03
275,346.5,2011-02-04
276,351.87999,2011-02-07
277,355.200012,2011-02-08
278,358.16,2011-02-09
279,354.539997,2011-02-10
280,356.85001,2011-02-11
281,359.179996,2011-02-14
282,359.900013,2011-02-15
283,363.129993,2011-02-16
284,358.300003,2011-02-17
